id,song_id,song_name,artist_id,artist_name
19178,mt0010832808,SRV Shuffle,mn0000096613,Bonnie Raitt
78874,mt0010832808,SRV Shuffle,mn0000347639,Jimmie Vaughan
,,,,
104915,mt0002796406,Jesus Christ Superstar~I Don't Know How to Love Him,mn0000597516,Yvonne Elliman
139349,mt0002796406,Jesus Christ Superstar~I Don't Know How to Love Him,mn0000003595,Andrew Lloyd Webber
,,,,
246778,mt0004814059,Jesus Christ Superstar~Superstar,mn0000614113,Murray Head
139348,mt0004814059,Jesus Christ Superstar~Superstar,mn0000003595,Andrew Lloyd Webber
,,,,
132620,mt0003191698,You Gotta Walk It Like You Talk It,mn0000237825,Walter Becker
272713,mt0003191698,You Gotta Walk It Like You Talk It,mn0000153103,Donald Fagen
,,,,
132625,mt0003964545,Dog Eat Dog,mn0000237825,Walter Becker
272715,mt0003964545,Dog Eat Dog,mn0000153103,Donald Fagen
,,,,
179075,mt0013427756,The Twilight Zone: The Movie~Nights Are Forever,mn0000330634,Jerry Goldsmith
210485,mt0013427756,The Twilight Zone: The Movie~Nights Are Forever,mn0000267505,Jennifer Warnes
,,,,
251013,mt0014950211,Friends,mn0000815167,Warren G
287583,mt0014950211,Friends,mn0000373592,Nate Dogg
